Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count
1,2026-08-15,824239,2026-08-15T17:10:00Z,Scheduled,Comerica Park,Chicago White Sox @ Detroit Tigers,Home,680664,Eduardo Valencia,Detroit Tigers,Chicago White Sox,C,R,No,,17,50,48,19,6,0,5,11,15,1,1,13,0.396,0.42,0.833,1.253,7,23,22,7,1,0.318,0.0435,13,39,38,14,3,0.368,0.0769,61,48,18.3,35.8,48.7,15.8,35.6,18.3,33.0,55.4,44.4,16.5,10.0,16.5,41.2,85.3,13.4,0.849,70.9,98.7,112.4,28.1,22.2,10.0,57.4,70.4,Above Average,4.0,Barrel Machine,A,Excellent HR swing plane,70.4,Above Average,1.057,Good,18.8,56.2,98.7,0.811,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,8.96,3.96,Positive regression,Above Average Barrel Machine profile. 18.3% barrel rate; 85.3 mph average exit velocity; 33.0% air-ball rate; 55.4% pull-air rate; 16.5% HR-launch rate.,0.1,0.052,4.25,4,1,9.6,0.42,41.7,Recently homered,641743.0,Anthony Kay,L,RHB vs LHP,24,22,116.0,3.96,1.34,15,1.16,7.29,3.34,671.0,6.0,26.1,11.9,54.1,29.2,82.3,95.6,115.8,0.525,15.0,77.9,77.3,0.769,15.0,4-Seam Fastball,R,RHB vs LHP,53.4,21,0.381,0.381,0.952,1.333,3,0,8,0.1429,16.7,1.0,378,0.0344,7.1,0.556,0,0,0,0/0,,,,,0,0,0,61.3,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,431,Sweeper,22.737819025522043,98.0,4-Seam Fastball,20.649651972157773,89.0,Sinker,17.633410672853827,76.0,Cutter,16.009280742459396,69.0,Changeup,12.993039443155453,56.0,Slider,9.976798143851509,43.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.056,0.985,73.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,53.4,43.8,77.9,88.7,50.0,45.0,65.1,11.78,1.05,1.01,1.025,1.08,1.057,1.142,1.0,20.3,17.98,58.7,43.0,C-,Small season sample; Lineup unconfirmed,,,
2,2026-08-15,824480,2026-08-15T22:40:00Z,Scheduled,Great American Ball Park,Miami Marlins @ Cincinnati Reds,Away,665052,Griffin Conine,Miami Marlins,Cincinnati Reds,RF,L,No,,56,180,157,43,6,0,13,26,27,21,2,55,0.274,0.367,0.561,0.928,11,41,35,9,3,0.257,0.0732,26,89,78,22,8,0.282,0.0899,191,92,10.7,33.6,49.4,29.6,21.0,15.3,29.1,50.2,34.6,11.4,7.5,11.4,69.9,85.8,17.0,0.885,72.0,98.8,115.0,42.1,14.1,11.4,45.2,57.6,Average,3.5,Pull Power,A,Excellent HR swing plane,57.6,Average,1.021,Good,12.0,43.3,99.4,0.941,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,17.71,4.71,Strong positive regression,Average Pull Power profile. 10.7% barrel rate; 85.8 mph average exit velocity; 29.1% air-ball rate; 50.2% pull-air rate; 11.4% HR-launch rate.,0.0722,0.0561,4.23,5,2,12.1,0.41,41.4,Recently homered,663903.0,Brady Singer,R,LHB vs RHP,23,23,119.2,4.66,1.43,22,1.65,7.52,3.01,626.0,5.9,27.5,16.5,43.2,33.5,84.1,96.6,113.4,0.567,22.0,71.8,100.0,0.807,10.1,Sinker,L,LHB vs RHP,68.9,149,0.297,0.396,0.648,1.044,13,20,45,0.0872,11.5,0.92,343,0.0466,5.6,0.598,2,2,2,2/2,1.0,1.0,2.5,3.5,1,0,0,67.1,Slight Hitter Advantage,Above average,55.0,5,Pitch-level Statcast · last 5 MLB games,501,Sinker,49.30139720558882,247.0,Slider,26.746506986027946,134.0,Sweeper,15.568862275449101,78.0,Cutter,7.7844311377245505,39.0,4-Seam Fastball,0.5988023952095808,3.0,,,,Unknown,,Unknown,,No,112.0,1.12,1.0,71.6,1.044,0.984,70.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,68.9,41.7,71.8,66.8,71.6,45.0,62.4,10.05,1.175,1.088,1.025,1.03,1.021,1.052,1.0,21.68,20.19,72.0,46.6,C-,Lineup unconfirmed,,,
3,2026-08-15,824157,2026-08-15T23:10:00Z,Scheduled,Daikin Park,Seattle Mariners @ Houston Astros,Away,663728,Cal Raleigh,Seattle Mariners,Houston Astros,C,S,No,,89,375,322,51,8,0,12,26,43,47,3,121,0.158,0.269,0.295,0.564,10,38,31,4,1,0.129,0.0263,24,95,80,10,3,0.125,0.0316,516,112,10.5,25.5,58.1,17.6,24.3,15.3,22.6,56.2,32.0,8.2,3.7,8.2,24.0,85.1,27.7,0.608,72.9,97.0,119.7,47.5,13.4,11.5,45.2,49.1,Average,3.0,Pull Power,A-,Elevated power plane,49.1,Average,0.997,Good,13.4,58.3,98.7,0.643,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,45.57,33.57,Strong positive regression,Average Pull Power profile. 10.5% barrel rate; 85.1 mph average exit velocity; 22.6% air-ball rate; 56.2% pull-air rate; 8.2% HR-launch rate.,0.032,0.032,3.87,26,9,26.8,0.97,96.9,Near normal interval,669713.0,Hayden Wesneski,R,Switch vs RHP,3,3,18.2,3.86,1.18,2,0.96,5.79,2.89,83.0,7.2,30.1,18.1,42.4,31.3,85.4,97.3,108.2,0.558,2.0,47.2,100.0,0.595,8.3,Sweeper,L,LHB vs RHP,51.0,246,0.17,0.28,0.321,0.601,8,31,74,0.0325,9.5,0.601,35,0.0571,15.8,0.682,2,2,2,2/2,1.0,1.0,1.5,2.5,0,0,0,50.0,Neutral Matchup,Average,52.5,3,Pitch-level Statcast · last 5 MLB games,240,Sweeper,30.0,72.0,4-Seam Fastball,25.0,60.0,Cutter,20.0,48.0,Sinker,17.916666666666668,43.0,Changeup,6.25,15.0,Curveball,0.8333333333333334,2.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,0.994,0.997,66.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,51.0,46.9,47.2,76.7,50.0,45.0,57.1,7.53,0.959,0.994,1.035,0.94,0.997,0.938,1.0,11.83,9.04,84.6,27.3,F,Lineup unconfirmed,,,
4,2026-08-15,823671,2026-08-15T23:10:00Z,Scheduled,Target Field,Philadelphia Phillies @ Minnesota Twins,Away,656941,Kyle Schwarber,Philadelphia Phillies,Minnesota Twins,DH,L,No,,117,521,432,108,14,1,37,71,72,79,6,177,0.25,0.371,0.544,0.915,12,55,41,11,4,0.268,0.0727,23,103,78,18,5,0.231,0.0485,577,101,9.6,31.3,63.1,17.2,19.4,14.5,27.6,59.7,30.7,9.1,6.4,9.1,61.3,85.7,19.5,0.813,74.4,98.1,113.1,66.0,15.6,15.5,62.7,55.9,Average,3.0,Pull Power,A,Excellent HR swing plane,55.9,Average,1.017,Good,7.9,60.7,96.7,0.732,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,49.48,12.48,Strong positive regression,Average Pull Power profile. 9.6% barrel rate; 85.7 mph average exit velocity; 27.6% air-ball rate; 59.7% pull-air rate; 9.1% HR-launch rate.,0.071,0.0637,4.23,0,0,11.7,0.0,0.0,Very recent HR,687570.0,Connor Prielipp,L,LHB vs LHP,16,16,82.2,4.79,1.32,11,1.2,9.58,3.48,470.0,4.9,24.3,13.0,41.2,30.4,83.3,95.2,113.1,0.561,11.0,75.4,99.9,0.841,10.2,Slider,L,LHB vs LHP,56.3,190,0.283,0.4,0.566,0.966,12,27,57,0.0632,8.9,0.853,100,0.02,6.0,0.614,0,0,0,0/0,,,,,0,0,0,61.7,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,432,Slider,29.39814814814815,127.0,4-Seam Fastball,25.925925925925927,112.0,Sinker,21.064814814814813,91.0,Curveball,16.89814814814815,73.0,Changeup,6.712962962962963,29.0,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.051,0.974,65.2,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,56.3,34.6,75.4,60.5,50.0,45.0,56.7,7.38,0.988,1.016,0.985,1.03,1.017,1.047,0.98,24.31,15.37,85.0,40.5,D+,Lineup unconfirmed,,,
5,2026-08-15,824157,2026-08-15T23:10:00Z,Scheduled,Daikin Park,Seattle Mariners @ Houston Astros,Home,670541,Yordan Alvarez,Houston Astros,Seattle Mariners,DH,L,No,,121,535,439,142,25,0,36,81,88,85,7,91,0.323,0.437,0.626,1.063,11,51,41,13,1,0.317,0.0196,25,115,90,31,5,0.344,0.0435,658,122,9.7,32.5,50.4,17.0,32.2,19.9,34.6,46.0,32.3,8.1,5.1,8.1,47.2,86.4,24.4,0.818,74.8,99.0,118.5,56.7,16.5,18.5,42.6,55.6,Average,3.0,Pull Power,A-,Elevated power plane,55.6,Average,1.016,Good,9.0,47.6,99.3,0.728,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,54.4,18.4,Strong positive regression,Average Pull Power profile. 9.7% barrel rate; 86.4 mph average exit velocity; 34.6% air-ball rate; 46.0% pull-air rate; 8.1% HR-launch rate.,0.0673,0.0608,4.25,0,0,12.2,0.0,0.0,Very recent HR,676106.0,Emerson Hancock,R,LHB vs RHP,22,22,121.0,3.35,1.12,15,1.12,8.26,2.23,700.0,4.9,23.6,14.7,33.5,30.4,83.2,94.5,114.7,0.552,15.0,76.5,99.7,0.92,10.3,4-Seam Fastball,L,LHB vs RHP,60.6,388,0.346,0.472,0.67,1.142,26,71,67,0.067,10.4,0.895,286,0.035,5.8,0.588,1,1,0,0/1,0.0,0.0,0.0,0.0,0,0,1,63.5,Slight Hitter Advantage,Above average,47.5,5,Pitch-level Statcast · last 5 MLB games,396,4-Seam Fastball,44.696969696969695,177.0,Sinker,22.22222222222222,88.0,Cutter,11.11111111111111,44.0,Curveball,9.595959595959595,38.0,Sweeper,7.3232323232323235,29.0,Changeup,5.05050505050505,20.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.053,0.974,67.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,60.6,28.3,76.5,64.1,50.0,45.0,56.3,7.26,0.806,1.003,1.025,1.08,1.016,1.097,0.98,23.41,13.69,85.0,39.8,D+,Lineup unconfirmed,,,
6,2026-08-15,824239,2026-08-15T17:10:00Z,Scheduled,Comerica Park,Chicago White Sox @ Detroit Tigers,Away,808959,Munetaka Murakami,Chicago White Sox,Detroit Tigers,1B,L,No,,86,373,306,72,12,0,27,63,55,64,2,124,0.235,0.37,0.539,0.909,11,47,40,7,3,0.175,0.0638,26,114,95,23,7,0.242,0.0614,342,100,12.2,36.7,49.8,26.1,22.8,21.6,32.5,45.1,31.5,8.3,4.7,8.3,57.7,86.3,18.6,0.843,72.3,99.7,113.9,42.1,15.4,10.7,44.0,54.7,Average,3.0,Pull Power,A,Excellent HR swing plane,54.7,Average,1.013,Good,12.0,45.9,99.1,0.819,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,33.74,6.74,Strong positive regression,Average Pull Power profile. 12.2% barrel rate; 86.3 mph average exit velocity; 32.5% air-ball rate; 45.1% pull-air rate; 8.3% HR-launch rate.,0.0724,0.0626,4.23,0,0,11.3,0.0,0.0,Very recent HR,675512.0,Troy Melton,R,LHB vs RHP,13,13,80.0,1.46,0.9,8,0.9,7.76,2.7,390.0,4.1,25.4,13.3,38.8,26.4,83.5,95.4,111.9,0.433,8.0,73.8,100.0,0.821,10.4,4-Seam Fastball,L,LHB vs RHP,64.9,250,0.254,0.388,0.6,0.988,21,44,78,0.084,14.7,0.906,182,0.0385,4.1,0.453,2,2,0,0/2,0.0,0.0,0.0,0.0,0,0,1,64.0,Slight Hitter Advantage,Above average,45.0,5,Pitch-level Statcast · last 5 MLB games,465,4-Seam Fastball,33.97849462365591,158.0,Cutter,24.516129032258064,114.0,Split-Finger,14.838709677419354,69.0,Slider,12.688172043010752,59.0,Sinker,7.096774193548387,33.0,Curveball,6.881720430107527,32.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.048,0.966,67.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,64.9,25.9,73.8,68.7,50.0,45.0,55.7,7.02,1.001,0.968,1.025,1.03,1.013,1.044,0.98,23.91,14.89,85.0,39.6,D+,Lineup unconfirmed,,,
7,2026-08-15,822941,2026-08-15T22:10:00Z,Scheduled,Tropicana Field,Baltimore Orioles @ Tampa Bay Rays,Away,687952,Christian Encarnacion-Strand,Baltimore Orioles,Tampa Bay Rays,3B,R,No,,21,73,66,17,3,0,4,6,14,4,1,16,0.258,0.306,0.485,0.791,11,32,30,6,1,0.2,0.0312,21,73,66,17,4,0.258,0.0548,110,110,10.0,20.9,40.8,30.6,28.6,12.7,25.5,46.4,32.7,8.2,4.5,8.2,36.4,82.6,17.2,0.784,71.2,94.5,111.0,28.2,11.8,6.0,50.3,42.7,Below Average,2.5,Pull Power,A,Excellent HR swing plane,42.7,Below Average,0.98,Good,10.0,46.4,94.5,0.784,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,8.67,4.67,Strong positive regression,Below Average Pull Power profile. 10.0% barrel rate; 82.6 mph average exit velocity; 25.5% air-ball rate; 46.4% pull-air rate; 8.2% HR-launch rate.,0.0548,0.0406,4.05,7,2,16.5,0.42,42.4,Recently homered,693855.0,Ian Seymour,L,RHB vs LHP,38,9,90.1,4.08,1.13,13,1.3,10.56,2.99,480.0,5.8,21.2,15.0,51.6,32.1,80.0,93.1,112.1,0.559,13.0,75.4,99.0,1.061,9.7,Changeup,R,RHB vs LHP,49.4,26,0.364,0.44,0.818,1.258,3,3,9,0.1154,15.4,1.266,235,0.0213,5.3,0.534,0,0,0,0/0,,,,,0,0,0,58.6,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,407,4-Seam Fastball,32.923832923832926,134.0,Changeup,31.203931203931205,127.0,Sweeper,18.42751842751843,75.0,Sinker,11.793611793611793,48.0,Slider,5.405405405405405,22.0,Curveball,0.2457002457002457,1.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.051,0.983,57.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,49.4,41.7,75.4,55.6,50.0,45.0,55.3,6.9,1.012,1.032,1.025,1.0,0.98,0.98,1.0,15.46,11.29,63.1,29.0,F,Small season sample; Lineup unconfirmed,,,
8,2026-08-15,822941,2026-08-15T22:10:00Z,Scheduled,Tropicana Field,Baltimore Orioles @ Tampa Bay Rays,Away,691723,Coby Mayo,Baltimore Orioles,Tampa Bay Rays,3B,R,No,,96,311,285,60,11,3,15,40,45,22,3,102,0.211,0.273,0.428,0.701,10,30,29,9,1,0.31,0.0333,22,65,62,17,3,0.274,0.0462,378,75,8.8,31.0,53.8,23.5,22.7,18.0,29.5,52.2,33.6,8.5,4.4,8.5,45.5,84.5,23.2,0.67,73.8,98.0,114.5,53.1,16.3,14.3,45.8,51.2,Average,3.0,Pull Power,A-,Elevated power plane,51.2,Average,1.003,Good,9.3,46.2,96.3,0.722,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,28.74,13.74,Strong positive regression,Average Pull Power profile. 8.8% barrel rate; 84.5 mph average exit velocity; 29.5% air-ball rate; 52.2% pull-air rate; 8.5% HR-launch rate.,0.0482,0.0437,3.99,22,8,19.0,1.16,115.8,Near normal interval,693855.0,Ian Seymour,L,RHB vs LHP,38,9,90.1,4.08,1.13,13,1.3,10.56,2.99,480.0,5.8,21.2,15.0,51.6,32.1,80.0,93.1,112.1,0.559,13.0,50.4,99.0,0.608,9.3,Changeup,R,RHB vs LHP,61.7,106,0.281,0.349,0.688,1.037,11,9,30,0.1038,11.5,0.906,235,0.0213,5.3,0.534,2,1,1,1/1,1.0,1.0,1.0,2.0,0,1,0,55.9,Neutral Matchup,Average,52.5,5,Pitch-level Statcast · last 5 MLB games,407,4-Seam Fastball,32.923832923832926,134.0,Changeup,31.203931203931205,127.0,Sweeper,18.42751842751843,75.0,Sinker,11.793611793611793,48.0,Slider,5.405405405405405,22.0,Curveball,0.2457002457002457,1.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.001,0.983,66.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,61.7,41.7,50.4,57.4,50.0,45.0,54.6,6.69,0.958,1.032,1.025,1.0,1.003,1.003,1.0,16.33,11.03,79.4,31.4,D,Lineup unconfirmed,,,
9,2026-08-15,823990,2026-08-16T01:38:00Z,Scheduled,Angel Stadium,Kansas City Royals @ Los Angeles Angels,Away,695506,Jac Caglianone,Kansas City Royals,Los Angeles Angels,RF,L,No,,114,443,410,112,21,2,22,56,58,28,4,115,0.273,0.325,0.495,0.82,11,44,43,20,4,0.465,0.0909,24,94,91,29,7,0.319,0.0745,560,126,8.6,35.7,53.9,25.4,20.7,12.6,26.2,47.9,27.3,5.8,3.8,5.8,47.5,86.7,11.3,0.685,75.7,100.7,115.8,72.0,15.3,23.1,42.7,53.8,Average,3.0,Pull Power,A,Excellent HR swing plane,53.8,Average,1.011,Good,8.7,48.5,101.8,0.644,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,41.51,19.51,Strong positive regression,Average Pull Power profile. 8.6% barrel rate; 86.7 mph average exit velocity; 26.2% air-ball rate; 47.9% pull-air rate; 5.8% HR-launch rate.,0.0497,0.0459,4.15,0,0,18.6,0.0,0.0,Very recent HR,672282.0,Reid Detmers,L,LHB vs LHP,24,24,135.0,4.0,1.1,17,1.13,10.4,2.87,713.0,4.6,22.4,15.0,39.5,28.9,83.3,94.8,112.6,0.541,17.0,78.6,99.9,0.898,11.3,4-Seam Fastball,L,LHB vs LHP,36.4,131,0.244,0.267,0.433,0.7,6,1,39,0.0458,4.8,0.568,144,0.0278,4.6,0.495,0,0,0,0/0,,,,,0,0,0,53.9,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,424,4-Seam Fastball,47.405660377358494,201.0,Slider,33.0188679245283,140.0,Curveball,12.971698113207546,55.0,Changeup,6.60377358490566,28.0,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.057,0.971,58.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,36.4,31.3,78.6,69.2,50.0,45.0,54.6,6.69,1.328,1.005,0.985,1.0,1.011,1.011,0.98,17.72,14.08,84.5,36.9,D+,Lineup unconfirmed,,,
10,2026-08-15,823347,2026-08-15T23:15:00Z,Scheduled,PNC Park,Boston Red Sox @ Pittsburgh Pirates,Away,575929,Willson Contreras,Boston Red Sox,Pittsburgh Pirates,1B,R,No,,112,460,385,108,19,2,24,60,72,50,21,116,0.281,0.39,0.527,0.917,10,41,34,7,1,0.206,0.0244,24,96,73,19,4,0.26,0.0417,535,97,9.4,28.5,47.2,25.3,27.0,16.7,28.9,51.1,31.2,7.9,3.9,7.9,46.1,83.5,18.3,0.713,74.8,97.3,116.5,67.1,11.9,15.0,46.6,50.5,Average,3.0,Pull Power,A,Excellent HR swing plane,50.5,Average,1.001,Good,9.3,50.0,96.6,0.681,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,41.6,17.6,Strong positive regression,Average Pull Power profile. 9.4% barrel rate; 83.5 mph average exit velocity; 28.9% air-ball rate; 51.1% pull-air rate; 7.9% HR-launch rate.,0.0522,0.048,4.31,7,2,16.0,0.44,43.6,Recently homered,683003.0,Jared Jones,R,RHB vs RHP,13,13,59.0,5.03,1.2,10,1.53,9.92,2.9,294.0,5.4,26.9,14.6,34.9,29.3,84.6,96.5,115.1,0.543,10.0,63.4,100.0,0.731,9.7,4-Seam Fastball,R,RHB vs RHP,53.6,339,0.28,0.382,0.517,0.899,17,31,93,0.0501,8.3,0.698,99,0.0505,7.8,0.516,2,1,0,0/1,0.0,0.5,0.0,0.5,0,1,0,55.4,Neutral Matchup,Average,45.5,5,Pitch-level Statcast · last 5 MLB games,386,4-Seam Fastball,49.48186528497409,191.0,Slider,41.968911917098445,162.0,Changeup,6.217616580310881,24.0,Curveball,2.33160621761658,9.0,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.027,0.979,65.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,53.6,33.4,63.4,61.5,50.0,45.0,54.6,6.67,0.868,1.058,0.985,1.03,1.001,1.031,1.0,19.1,11.77,84.7,34.7,D,Lineup unconfirmed,,,
11,2026-08-15,822941,2026-08-15T22:10:00Z,Scheduled,Tropicana Field,Baltimore Orioles @ Tampa Bay Rays,Home,691406,Junior Caminero,Tampa Bay Rays,Baltimore Orioles,3B,R,No,,121,530,460,127,18,1,35,77,78,66,2,97,0.276,0.368,0.548,0.916,11,51,45,11,5,0.244,0.098,27,119,105,28,7,0.267,0.0588,619,138,9.4,33.8,48.5,31.1,20.3,14.1,25.4,61.4,25.9,7.1,4.7,7.1,58.1,86.2,13.2,0.657,78.0,100.5,116.7,79.1,12.5,21.3,62.5,56.7,Average,3.5,Pull Power,A,Excellent HR swing plane,56.7,Average,1.019,Good,9.4,63.9,100.1,0.666,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,51.41,16.41,Strong positive regression,Average Pull Power profile. 9.4% barrel rate; 86.2 mph average exit velocity; 25.4% air-ball rate; 61.4% pull-air rate; 7.1% HR-launch rate.,0.066,0.0598,4.17,9,2,13.1,0.68,68.5,Recently homered,680694.0,Kyle Bradish,R,RHB vs RHP,23,23,127.0,3.69,1.34,13,0.92,8.57,3.83,635.0,5.5,24.7,12.8,36.7,28.2,82.8,95.1,114.2,0.504,13.0,58.9,100.0,0.679,10.0,Sinker,R,RHB vs RHP,54.0,384,0.272,0.346,0.561,0.908,28,39,76,0.0729,9.7,0.663,215,0.0279,6.6,0.511,6,5,2,2/5,0.4,0.5,0.6,1.1,0,1,2,56.1,Neutral Matchup,Average,55.9,5,Pitch-level Statcast · last 5 MLB games,429,Sinker,37.995337995338,163.0,Slider,23.31002331002331,100.0,Curveball,21.21212121212121,91.0,4-Seam Fastball,17.482517482517483,75.0,,,,,,,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.018,0.98,66.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,54.0,32.0,58.9,70.7,50.0,45.0,54.5,6.66,1.138,0.971,0.985,1.03,1.019,1.049,1.0,22.66,15.13,85.0,40.1,D+,Lineup unconfirmed,,,
